##### Intel Schematic Connectivity Format DG-2012.100
BEGIN_COMPPROPS
###### RefDes:partName,partNumber,noMount,tolerance,value,maxV[voltage],powerDiss[wattage],maxP[wattage],elec_type,enetNonSeries,componentKind,power_supply,compComment
B1:A5E00992668,,,,,,,,,,102,,
B2:A5E00992668,,,,,,,,,,102,,
B3:A5E00321379,,,,,,,,,,102,,
B1400:A5E30654235,,,,,,,,,,102,,
C1:A5E00818233,,,,100n,,,,,,103,,
C2:A5E00257456,,,,10n,,,,,,103,,
C3:A5E02477164,,,,1u,,,,,,103,,
C4:A5E00818233,,,,100n,,,,,,103,,
C5:A5E00257456,,,,10n,,,,,,103,,
C6:A5E02477164,,,,1u,,,,,,103,,
C7:A5E00818233,,,,100n,,,,,,103,,
C8:A5E00818233,,,,100n,,,,,,103,,
C9:A5E00374261,,,,10u,,,,,,103,,
C11:A5E41782197,,,,100n,,,,,,103,,
C12:A5E02477164,,,,1u,,,,,,103,,
C13:A5E41782197,,,,100n,,,,,,103,,
C14:A5E00818233,,,,100n,,,,,,103,,
C15:A5E00818233,,,,100n,,,,,,103,,
C16:A5E02477164,,,,1u,,,,,,103,,
C17:A5E00818233,,,,100n,,,,,,103,,
C46:A5E00374261,,,,10u,,,,,,103,,
C47:A5E00374261,,,,10u,,,,,,103,,
C48:A5E00374261,,,,10u,,,,,,103,,
C49:A5E00374261,,,,10u,,,,,,103,,
C50:A5E00374261,,,,10u,,,,,,103,,
C51:A5E00118263,,,,22p,,,,,,103,,
C52:A5E00118263,,,,22p,,,,,,103,,
C53:A5E00118263,,,,22p,,,,,,103,,
C54:A5E00118263,,,,22p,,,,,,103,,
C55:A5E00119984,,,,15p,,,,,,103,,
C56:A5E00119984,,,,15p,,,,,,103,,
C57:A5E00818233,,,,100n,,,,,,103,,
C58:A5E02477164,,,,1u,,,,,,103,,
C59:A5E33119283,,,,4u7,,,,,,103,,
C60:A5E33119283,,,,4u7,,,,,,103,,
C61:A5E33119283,,,,4u7,,,,,,103,,
C62:A5E33119283,,,,4u7,,,,,,103,,
